Date,temp,humidity,windspeed,solarradiation,description,DEMAND
01-01-2023,24.2,88.2,11.2,195.7,Partly cloudy throughout the day.,20.7
02-01-2023,23.4,89.7,18.4,146.6,Partly cloudy throughout the day with afternoon rain.,21.3
03-01-2023,22.3,82.6,16.6,195.6,Partly cloudy throughout the day.,20.44
04-01-2023,21.3,76.2,11.2,212.3,Clear conditions throughout the day.,20.81
05-01-2023,20.6,74.9,14.8,211.5,Clear conditions throughout the day.,20.81
06-01-2023,20.2,68.4,13,217.2,Clear conditions throughout the day.,20.58
07-01-2023,18.6,57.1,20.5,231.7,Clear conditions throughout the day.,20.36
08-01-2023,19,58.3,13,227.1,Clear conditions throughout the day.,19.81
09-01-2023,19.4,69.3,11.2,224.4,Clear conditions throughout the day.,20.31
10-01-2023,20.5,71.5,11.2,226,Clear conditions throughout the day.,20.98
11-01-2023,20.5,76,9.4,224.9,Clear conditions throughout the day.,20.59
12-01-2023,21.6,88.4,14.8,220.6,Partly cloudy throughout the day.,20.66
13-01-2023,23.2,83.8,16.6,220.6,Clearing in the afternoon.,21.06
14-01-2023,23.7,83.1,14.8,222,Partly cloudy throughout the day.,20.4
15-01-2023,23.6,81.8,14.8,224.3,Partly cloudy throughout the day.,19.87
16-01-2023,23,92.2,13,219.9,Partly cloudy throughout the day.,20.61
17-01-2023,23.2,88.9,18.4,186.2,Partly cloudy throughout the day.,21.39
18-01-2023,23.5,92.7,16.6,204.8,Partly cloudy throughout the day.,21.97
19-01-2023,22.9,85.1,11.2,209.8,Partly cloudy throughout the day.,21.58
20-01-2023,23.1,84.3,13,225.7,Partly cloudy throughout the day.,20.9
21-01-2023,23.4,83,15.4,227.5,Partly cloudy throughout the day.,21.26
22-01-2023,23.5,76.6,11.2,230,Clearing in the afternoon.,19.61
23-01-2023,23.5,69.1,9.4,230.3,Clear conditions throughout the day.,21.1
24-01-2023,23.8,67.6,7.6,230.9,Partly cloudy throughout the day.,20.75
25-01-2023,23.7,70.1,11.2,233.7,Clear conditions throughout the day.,21.48
26-01-2023,24.4,66.9,7.6,235.8,Clear conditions throughout the day.,20.33
27-01-2023,24.8,67.7,11.2,232.5,Clear conditions throughout the day.,22.03
28-01-2023,24.4,75,9.4,228.5,Clear conditions throughout the day.,22.81
29-01-2023,24.2,72.3,15.2,235,Clear conditions throughout the day.,22.44
30-01-2023,23.6,72.1,14.7,230.5,Partly cloudy throughout the day.,22.64
31-01-2023,24.4,67.1,14.8,233.2,Partly cloudy throughout the day.,22.43
01-02-2023,24.9,67.9,11.2,207.7,Partly cloudy throughout the day.,22.58
02-02-2023,23.2,65.5,18.4,248.9,Clear conditions throughout the day.,23.67
03-02-2023,22,69.3,11.2,258.1,Clear conditions throughout the day.,22.79
04-02-2023,22.5,69.8,11.2,260.5,Clear conditions throughout the day.,23.44
